account,region,country,is_diplomatic_outlet,is_state_media_outlet,is_confucius_institute,account_category,name,social_media_type,langs,link_or_handle,extracted_from_file,extracted_from_col,lookup.twitter.user/verified,lookup.lookup.crowdtangle.account/verified,lookup.twitter.user/createdAt,combined/userHandle,combined/uniqueUserId
AmbLiuQuan,Americas,SURINAM,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-09-03T20:12:43.000Z,tw-AmbLiuQuan,tw-1168979212574892034
AmbLiuXiaoMing,Europe,UNITED KINGDOM,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-10-09T14:18:32.000Z,tw-AmbLiuXiaoMing,tw-1181936905820266496
AmbZhouJian,Middle East,QATAR,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'arabic', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2020-02-06T07:26:34.000Z,tw-AmbZhouJian,tw-1225319823707602947
Amb_ChenXu,International,UNITED NATIONS (GENEVA),Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-12-31T18:35:01.000Z,tw-Amb_ChenXu,tw-1212079621639794689
Amb_Yiming,Africa,NAMIBIA,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-09-25T20:48:21.000Z,tw-Amb_Yiming,tw-1176961391133110272
AmbassadeChine,Europe,FRANCE,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['french', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-08-14T11:26:51.000Z,tw-AmbassadeChine,tw-1161600064214753280
AmbassadeurLiLi,Middle East,MOROCCO,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['french', 'english', 'arabic']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,,,,,
AmbassadorHuang,Europe,CYPRUS (Greek),Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'mandarin', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2020-02-27T12:58:13.000Z,tw-AmbassadorHuang,tw-1233013170094125056
AmbassadorZhang,Asia-Pacific,MALDIVES,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2019-06-16T08:37:55.000Z,tw-AmbassadorZhang,tw-1140176664468418561
Ambassador_Liu,Africa,AFRICAN UNION,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'french', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-10-22T08:14:29.000Z,tw-Ambassador_Liu,tw-1186556215767252992
ArabicOrg,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,False,,2012-12-26T09:12:32.000Z,tw-ArabicOrg,tw-1036714537
BCPSConfucius,Americas,UNITED STATES OF AMERICA,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['n/a'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2015-02-18T13:58:21.000Z,tw-BCPSConfucius,tw-3044611613
BeijingReview,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2009-06-26T03:49:18.000Z,tw-BeijingReview,tw-50910154
BotschaftChina,Europe,SWITZERLAND,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,,,,,
CCTV,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2009-07-14T08:29:17.000Z,tw-CCTV,tw-56644534
CCTV_Plus,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2015-01-16T04:52:01.000Z,tw-CCTV_Plus,tw-2985114866
CGTNEurope,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2016-12-30T13:04:07.000Z,tw-CGTNEurope,tw-814819352662790145
CGTNFrancais,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['french'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2013-08-13T07:57:28.000Z,tw-CGTNFrancais,tw-1667162474
CGTNOfficial,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2013-01-24T03:18:59.000Z,tw-CGTNOfficial,tw-1115874631
CGZhangPingLA,Americas,UNITED STATES OF AMERICA,Diplomatic outlet,0,0,Consul General,consul_general_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Consul General Twitter handle,True,,2019-11-07T06:08:07.000Z,tw-CGZhangPingLA,tw-1192322561339641856
CHNEmbSuriname,Americas,SURINAM,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['n/a', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-09-05T12:36:38.000Z,tw-CHNEmbSuriname,tw-1169590123404693508
CI4Scotland,Europe,UNITED KINGDOM,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2009-04-24T15:50:57.000Z,tw-CI4Scotland,tw-34959268
CIMason1,Americas,UNITED STATES OF AMERICA,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['n/a'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2017-02-16T20:15:43.000Z,tw-CIMason1,tw-832322585559973888
CISSStrathclyde,Europe,UNITED KINGDOM,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2014-12-04T09:21:13.000Z,tw-CISSStrathclyde,tw-2904895324
CI_MiamiUniv,Americas,UNITED STATES OF AMERICA,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2014-09-12T13:14:46.000Z,tw-CI_MiamiUniv,tw-2805551354
CI_UNCCharlotte,Americas,UNITED STATES OF AMERICA,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2018-05-02T13:45:24.000Z,tw-CI_UNCCharlotte,tw-991675023365758976
CIforTCMLondon,Europe,UNITED KINGDOM,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2009-07-22T14:06:40.000Z,tw-CIforTCMLondon,tw-59134017
CNS1952,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['chinese'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2013-07-16T03:27:55.000Z,tw-CNS1952,tw-1597435105
CRIjpn,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['japanese'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2015-02-02T08:21:23.000Z,tw-CRIjpn,tw-3007739821
CardiffCI,Europe,UNITED KINGDOM,0,0,Confucius Institute,Confucius Institute,institute_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Institute Twitter handle,False,,2014-03-20T20:09:28.000Z,tw-CardiffCI,tw-2400396661
CathayPak,Asia-Pacific,PAKISTAN,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'urdu', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2015-09-19T04:46:27.000Z,tw-CathayPak,tw-3612384374
China2ASEAN,Asia-Pacific,ASEAN,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2020-01-20T11:05:20.000Z,tw-China2ASEAN,tw-1219214266521096193
ChinaAmbBelgium,Europe,BELGIUM,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'french', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2019-12-01T22:46:10.000Z,tw-ChinaAmbBelgium,tw-1201271102305165314
ChinaAmbUN,International,UNITED NATIONS (NEW YORK),Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,False,,2020-02-27T21:41:11.000Z,tw-ChinaAmbUN,tw-1233144962583343105
ChinaAmbUganda,Africa,UGANDA,Diplomatic outlet,0,0,Chinese Ambassador,chinese_ambassador_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Chinese Ambassador Twitter handle,True,,2018-03-03T08:21:30.000Z,tw-ChinaAmbUganda,tw-969850238365327360
ChinaCGCalgary,Americas,CANADA,Diplomatic outlet,0,0,CG/Mission,cg_mission_twitter_handle,tw,"['english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,CG/Mission Twitter handle,True,,2019-12-10T00:45:22.000Z,tw-ChinaCGCalgary,tw-1204200194390183936
ChinaCGMTL,Americas,CANADA,Diplomatic outlet,0,0,CG/Mission,cg_mission_twitter_handle,tw,"['english', 'french']",handle,ChinaSocialMedia20200928.xlsx,CG/Mission Twitter handle,False,,2020-01-24T18:28:13.000Z,tw-ChinaCGMTL,tw-1220775270413717505
ChinaConsulate,Americas,UNITED STATES OF AMERICA,Diplomatic outlet,0,0,CG/Mission,cg_mission_twitter_handle,tw,"['english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,CG/Mission Twitter handle,True,,2017-02-01T02:09:52.000Z,tw-ChinaConsulate,tw-826613505189085186
ChinaConsulateCHGO,Americas,UNITED STATES OF AMERICA,Diplomatic outlet,0,0,Consulate General,consulate_general_facebook_handle,fb,['english'],handle,ChinaSocialMedia20200928.xlsx,Consulate General Facebook handle,,True,,fb-ChinaConsulateCHGO,fb-1885797828331276
ChinaDaily,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2009-11-05T20:30:10.000Z,tw-ChinaDaily,tw-87775422
ChinaDailyAsia,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2011-04-11T08:08:24.000Z,tw-ChinaDailyAsia,tw-280406148
ChinaDailyEU,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2011-05-23T16:49:38.000Z,tw-ChinaDailyEU,tw-303919573
ChinaEUMission,Europe,EUROPEAN UNION (EU),Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2013-09-24T10:12:31.000Z,tw-ChinaEUMission,tw-1899984391
ChinaEmSlovenia,Europe,SLOVENIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2017-12-13T08:32:59.000Z,tw-ChinaEmSlovenia,tw-940862098216751105
ChinaEmbAddis,Africa,ETHIOPIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-12-19T07:10:36.000Z,tw-ChinaEmbAddis,tw-1207558778842947584
ChinaEmbAngola,Africa,ANGOLA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['portuguese', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-10-24T14:56:13.000Z,tw-ChinaEmbAngola,tw-1187382248229789701
ChinaEmbArg,Americas,ARGENTINA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['spanish', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2020-03-17T15:56:59.000Z,tw-ChinaEmbArg,tw-1239943788166070277
ChinaEmbEsp,Europe,SPAIN,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['spanish', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-09-10T07:36:26.000Z,tw-ChinaEmbEsp,tw-1171325918985510912
ChinaEmbGermany,Europe,GERMANY,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['german', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-12-20T09:43:27.000Z,tw-ChinaEmbGermany,tw-1207959651079393281
ChinaEmbIreland,Europe,IRELAND,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2020-02-16T16:37:15.000Z,tw-ChinaEmbIreland,tw-1229082104656470017
ChinaEmbKSA,Middle East,SAUDI ARABIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['arabic', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-07-24T09:13:43.000Z,tw-ChinaEmbKSA,tw-1153956415138095104
ChinaEmbKabul,Asia-Pacific,AFGHANISTAN,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'pashto', 'persian']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2017-01-30T16:44:05.000Z,tw-ChinaEmbKabul,tw-826108735827345410
ChinaEmbKazakh,Eurasia,KAZAKHSTAN,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['russian', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-09-30T05:29:22.000Z,tw-ChinaEmbKazakh,tw-1178542268262825985
ChinaEmbOttawa,Americas,CANADA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2014-06-12T02:46:43.000Z,tw-ChinaEmbOttawa,tw-2562545263
ChinaEmbPeru,Americas,PERU,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['spanish', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2020-02-18T21:33:28.000Z,tw-ChinaEmbPeru,tw-1229881161171775488
ChinaEmbPoland,Europe,POLAND,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'polish', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-07-31T14:17:44.000Z,tw-ChinaEmbPoland,tw-1156569639914221568
