"language","lookup.general/linkPrefix","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.tweet/text","lookup.facebook/pageLink","twitter.tweet/lang","lookup.general/extracted_from_file","crowdtangle.account/id","crowdtangle.post/idNew","lookup.webcrawl.error/message","lookup.general/postgresId","crowdtangle.post/message","random/boolean","lookup.webcrawl/isSuccessful","platformPrefix","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/id","combined/text","crowdtangle.account/handle","lookup.general/link_or_handle","twitter.user/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","crowdtangle.account/name","combined/uniqueUserId-fb","combined/userHandle","lookup.extracted.account/platformId","lookup.general/langs","crowdtangle.account/platformId","combined/createdDate","lookup.general/social_media_type","combined/uniqueUserId","lookup/found","lookup.webcrawl/httpCode","postgresId","twitter.user/screenName","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/created","lookup.general/name"
"en","https://www.facebook.com/","https://www.facebook.com/AmbasadaChineiinRomania/?rf=287193445231187","","","","https://www.facebook.com/AmbasadaChineiinRomania","","ChinaSocialMedia20200928.xlsx","9753241","9753241|205270887626996","","155","China has surpassed the US to become the top trading partner of the European Union (EU) in the first seven months of 2020, according to Eurostat.","true","true","fb","2020-10-05T07:15:42.000Z","104493884371364_205270887626996","China has surpassed the US to become the top trading partner of the European Union (EU) in the first seven months of 2020, according to Eurostat. China has surpassed the US to become the top trading partner of the European Union (EU) in the first seven months of 2020, according to Eurostat","","China has surpassed the US to become the top trading partner of the European Union (EU) in the first seven months of 2020, according to Eurostat.","AmbasadaChineiinRomania","link","","PAGE","AmbasadaChineiinRomania","154","","中国驻罗使馆Ambasada Chinei","true","fb-AmbasadaChineiinRomania","104493884371364","['english', 'n/a', 'n/a']","104493884371364","2020-10-05T07:15:42.000Z","fb","fb-104493884371364","true","200","619","","Main Facebook Page Link","false","https://www.facebook.com/AmbasadaChineiinRomania","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinainAus/","","","","https://www.facebook.com/ChinainAus","","ChinaSocialMedia20200928.xlsx","11183627","11183627|198101155033968","","112","Professor Francisco Urdinez with the Center for International Studies at the Pontifical Catholic University of Chile hails China's poverty alleviation efforts, saying it is ""unparalleled"" in human history.","true","true","fb","2020-10-02T05:43:21.000Z","100850931425658_198101155033968","Professor Francisco Urdinez with the Center for International Studies at the Pontifical Catholic University of Chile hails China's poverty alleviation efforts, saying it is ""unparalleled"" in human history.","","Professor Francisco Urdinez with the Center for International Studies at the Pontifical Catholic University of Chile hails China's poverty alleviation efforts, saying it is ""unparalleled"" in human history.","ChinainAus","link","","PAGE","ChinainAus","111","","Chinese Embassy in Australia","true","fb-ChinainAus","100850931425658","['english', 'n/a', 'n/a']","100850931425658","2020-10-02T05:43:21.000Z","fb","fb-100850931425658","true","200","738","","Main Facebook Page Link","false","https://www.facebook.com/ChinainAus","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/PresbyterianCollege","","","","https://www.facebook.com/PresbyterianCollege","","ChinaSocialMedia20200928.xlsx","481900","481900|10157708168847666","","368","Hear from Hayden Sanders '18 and Dr. Suzie Smith '82 as they talk about his transition from college to professional and what it's like to work in the sales industry. Watch Now » https://bit.ly/2SfvJyU #OnOnPC #BeaBlueHose","true","true","fb","2020-10-01T19:43:01.000Z","9155137665_10157708168847666","Hear from Hayden Sanders '18 and Dr. Suzie Smith '82 as they talk about his transition from college to professional and what it's like to work in the sales industry. Watch Now » https://bit.ly/2SfvJyU #OnOnPC #BeaBlueHose Hayden Sanders '18 in B2B sales with Honeywell talks with Dr. Suzie Smith about how he landed his jobs and what it's like to work in a technical sales role. ...","","Hear from Hayden Sanders '18 and Dr. Suzie Smith '82 as they talk about his transition from college to professional and what it's like to work in the sales industry. Watch Now » https://bit.ly/2SfvJyU #OnOnPC #BeaBlueHose","PresbyterianCollege","link","","PAGE","PresbyterianCollege","367","","Presbyterian College","true","fb-PresbyterianCollege","9155137665","['n/a', 'n/a']","9155137665","2020-10-01T19:43:01.000Z","fb","fb-9155137665","true","200","756","","Facebook link","false","https://www.facebook.com/PresbyterianCollege","","institute_facebook_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinainAus/","","","","https://www.facebook.com/ChinainAus","","ChinaSocialMedia20200928.xlsx","11183627","11183627|197951665048917","","112","China on Friday delivered more COVID-19 preventative materials to Zambia. According to Li Jie, Chinese Ambassador to Zambia, China is ready to work with Zambia to stabilize trade and investment, deepen the cooperation in the field of health care and to support Zambia as soon the COVID-19 Vaccine is put into use.","true","true","fb","2020-10-01T15:19:42.000Z","100850931425658_197951665048917","China on Friday delivered more COVID-19 preventative materials to Zambia. According to Li Jie, Chinese Ambassador to Zambia, China is ready to work with Zambia to stabilize trade and investment, deepen the cooperation in the field of health care and to support Zambia as soon the COVID-19 Vaccine is put into use.","","China on Friday delivered more COVID-19 preventative materials to Zambia. According to Li Jie, Chinese Ambassador to Zambia, China is ready to work with Zambia to stabilize trade and investment, deepen the cooperation in the field of health care and to support Zambia as soon the COVID-19 Vaccine is put into use.","ChinainAus","link","","PAGE","ChinainAus","111","","Chinese Embassy in Australia","true","fb-ChinainAus","100850931425658","['english', 'n/a', 'n/a']","100850931425658","2020-10-01T15:19:42.000Z","fb","fb-100850931425658","true","200","778","","Main Facebook Page Link","false","https://www.facebook.com/ChinainAus","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinainAus/","","","","https://www.facebook.com/ChinainAus","","ChinaSocialMedia20200928.xlsx","11183627","11183627|197845638392853","","112","A flag-raising ceremony was held at Tian'anmen Square in Beijing on Thursday to celebrate China's #NationalDay.","true","true","fb","2020-10-01T07:52:50.000Z","100850931425658_197845638392853","A flag-raising ceremony was held at Tian'anmen Square in Beijing on Thursday to celebrate China's #NationalDay.","","A flag-raising ceremony was held at Tian'anmen Square in Beijing on Thursday to celebrate China's #NationalDay.","ChinainAus","link","","PAGE","ChinainAus","111","","Chinese Embassy in Australia","true","fb-ChinainAus","100850931425658","['english', 'n/a', 'n/a']","100850931425658","2020-10-01T07:52:50.000Z","fb","fb-100850931425658","true","200","802","","Main Facebook Page Link","false","https://www.facebook.com/ChinainAus","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/chinaemb.ss/","","","","https://www.facebook.com/chinaemb.ss","","ChinaSocialMedia20200928.xlsx","11183647","11183647|2291092141036156","","161","China 2020: Putting People First What do we see in China in 2020? We see people fearlessly taking on the coronavirus. We see thousands of people lifted out of poverty. China 2020, putting people first - always.","true","true","fb","2020-10-01T07:39:32.000Z","1732084740270235_2291092141036156","China 2020: Putting People First What do we see in China in 2020? We see people fearlessly taking on the coronavirus. We see thousands of people lifted out of poverty. China 2020, putting people first - always.","","China 2020: Putting People First What do we see in China in 2020? We see people fearlessly taking on the coronavirus. We see thousands of people lifted out of poverty. China 2020, putting people first - always.","chinaemb.ss","link","","PAGE","chinaemb.ss","160","","Chinese Embassy in South Sudan","true","fb-chinaemb.ss","1732084740270235","['english', 'n/a', 'n/a']","1732084740270235","2020-10-01T07:39:32.000Z","fb","fb-1732084740270235","true","200","805","","Main Facebook Page Link","false","https://www.facebook.com/chinaemb.ss","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","https://www.facebook.com/ChinaEmbNepal/","","","","https://www.facebook.com/ChinaEmbNepal","","ChinaSocialMedia20200928.xlsx","11183626","11183626|177717700524942","","148","""China's contribution to world peace, development"" Chinese Ambassador Hou Yanqi published an article in celebration of the 71st anniversary of the founding of the People's Republic of China. https://gorkhapatraonline.com/opinion/2020-10-01-23770","true","true","fb","2020-10-01T05:50:38.000Z","104650787831634_177717700524942","""China's contribution to world peace, development"" Chinese Ambassador Hou Yanqi published an article in celebration of the 71st anniversary of the founding of the People's Republic of China. https://gorkhapatraonline.com/opinion/2020-10-01-23770 योवर्ष जनवादी गणतन्त्र चीन स्थापना भएको ७१ वर्ष पूरा भएको छ । ७१ वर्षमा विश्वको जनसङ्ख्याको पाँच भागको एक भएको प्....","","""China's contribution to world peace, development"" Chinese Ambassador Hou Yanqi published an article in celebration of the 71st anniversary of the founding of the People's Republic of China. https://gorkhapatraonline.com/opinion/2020-10-01-23770","ChinaEmbNepal","link","","PAGE","ChinaEmbNepal","147","","Chinese Embassy in Nepal","true","fb-ChinaEmbNepal","104650787831634","['english', 'n/a', 'n/a']","104650787831634","2020-10-01T05:50:38.000Z","fb","fb-104650787831634","true","200","817","","Main Facebook Page Link","false","https://www.facebook.com/ChinaEmbNepal","","chinese_embassy_facebook_page_link"
"en","https://www.facebook.com/","ChinaConsulateCHGO","","","","https://www.facebook.com/ChinaConsulateCHGO","","ChinaSocialMedia20200928.xlsx","3701035","3701035|2773131029597947","","181","Art performance of the virtual reception","true","true","fb","2020-10-01T02:04:00.000Z","1885797828331276_2773131029597947","Art performance of the virtual reception","","Art performance of the virtual reception","ChinaConsulateCHGO","handle","","PAGE","ChinaConsulateCHGO","180","","Consulate General of the People's Republic of China in Chicago","true","fb-ChinaConsulateCHGO","1885797828331276","['english']","1885797828331276","2020-10-01T02:04:00.000Z","fb","fb-1885797828331276","true","200","825","","Consulate General Facebook handle","false","https://www.facebook.com/ChinaConsulateCHGO","","consulate_general_facebook_handle"
"en","https://www.facebook.com/","https://www.facebook.com/UniversityofAkron","","","","https://www.facebook.com/UniversityofAkron","","ChinaSocialMedia20200928.xlsx","431679","431679|781292759313762","","363","Hey Zips, we've know you've been missing it ... It's time for the first #ZipsInvade of the semester, at Chill Artisan Ice Cream! This Friday (Oct. 2) from 3-7 pm, get a single scoop of ice cream for free with your Zip card. Make sure you sign up for a time slot: https://signup.com/go/HmmECnf Thanks as always to The Knight Foundation for making these events possible. See you there!","true","true","fb","2020-09-30T20:17:08.000Z","87506681775_781292759313762","Hey Zips, we've know you've been missing it ... It's time for the first #ZipsInvade of the semester, at Chill Artisan Ice Cream! This Friday (Oct. 2) from 3-7 pm, get a single scoop of ice cream for free with your Zip card. Make sure you sign up for a time slot: https://signup.com/go/HmmECnf Thanks as always to The Knight Foundation for making these events possible. See you there!","","Hey Zips, we've know you've been missing it ... It's time for the first #ZipsInvade of the semester, at Chill Artisan Ice Cream! This Friday (Oct. 2) from 3-7 pm, get a single scoop of ice cream for free with your Zip card. Make sure you sign up for a time slot: https://signup.com/go/HmmECnf Thanks as always to The Knight Foundation for making these events possible. See you there!","UniversityofAkron","link","","PAGE","UniversityofAkron","362","","The University of Akron","true","fb-UniversityofAkron","87506681775","['n/a', 'n/a']","87506681775","2020-09-30T20:17:08.000Z","fb","fb-87506681775","true","200","841","","Facebook link","false","https://www.facebook.com/UniversityofAkron","","institute_facebook_link"
"en","https://www.facebook.com/","chineseconsulatesf","","","","https://www.facebook.com/chineseconsulatesf","","ChinaSocialMedia20200928.xlsx","418424","418424|3450687081656451","","180","Tens of thousands of flowers were set up in major sites in #Shanghai by the municipal landscaping and city appearance administrator to celebrate #National Day and #Mid-Autumn Festival.","true","true","fb","2020-09-30T19:02:01.000Z","559417600783428_3450687081656451","Tens of thousands of flowers were set up in major sites in #Shanghai by the municipal landscaping and city appearance administrator to celebrate #National Day and #Mid-Autumn Festival.","","Tens of thousands of flowers were set up in major sites in #Shanghai by the municipal landscaping and city appearance administrator to celebrate #National Day and #Mid-Autumn Festival.","chineseconsulatesf","handle","","PAGE","chineseconsulatesf","179","","Consulate General of China in San Francisco","true","fb-chineseconsulatesf","559417600783428","['english']","559417600783428","2020-09-30T19:02:01.000Z","fb","fb-559417600783428","true","200","844","","Consulate General Facebook handle","false","https://www.facebook.com/chineseconsulatesf","","consulate_general_facebook_handle"
