"language","twitter.user/followersCount","twitter.user/friendsCount","lookup.general/linkPrefix","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","lookup.general/account","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","lookup.facebook/pageLink","retweet.twitter.tweet/originalText","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","lookup.general/extracted_from_file","crowdtangle.post/idNew","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","lookup.webcrawl.error/message","twitter.tweet/isQuote","lookup.general/postgresId","twitter.tweet/placeName","crowdtangle.post/message","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","random/boolean","twitter.tweet/quotedStatusId","twitter.tweet/mediaTypes","lookup.webcrawl/isSuccessful","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","platformPrefix","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","twitter.user/contributorsEnabled","crowdtangle.post/date","crowdtangle.post/platformId","crowdtangle.post/allText","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","twitter.tweet/source","combined/text","retweet.twitter.tweet/latitude","retweet.twitter.tweet/inReplyToStatusID","lookup.general/link_or_handle","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","lookup.facebook/type","lookup.facebook/id","lookup.general/csvId","lookup.facebook/postId","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","combined/uniqueUserId-fb","retweet.twitter.tweet/possiblySensitive","combined/userHandle","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","lookup.extracted.account/platformId","lookup.general/langs","twitter.tweet/urls","retweet.twitter.tweet/mediaTypes","combined/createdDate","twitter.user/location","lookup.general/social_media_type","retweet.twitter.tweet/quotedStatusId","combined/uniqueUserId","lookup/found","twitter.tweet/favouriteCount","lookup.webcrawl/httpCode","postgresId","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","lookup.general/extracted_from_col","combined/uniqueUserId-tw","lookup.webcrawl/resolvedUrl","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","lookup.general/name"
"en","380","286","","","","","","1853735762","2013-09-11T08:26:54.000Z","Confucius Institute at the University of Wales Trinity Saint David: Enriching Lives through Chinese Language and Culture","","End of academic year Confucius Institute meeting w/ reports from schools etc. http://t.co/NYHgb8cjwV","","","","en","","","","","","false","0","","false","","","","false","","16","true","","[photo]","","","","tw","","","","","","false","","","false","","","","false","490051698933923840","Confucius@TSD","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","End of academic year Confucius Institute meeting w/ reports from schools etc. http://t.co/NYHgb8cjwV","","","","","","","","false","","","","","","","659","http://t.co/3O52pllyGT","false","false","","false","","tw-ConfuciusTSD","","","3","","","","","2014-07-18T08:33:24.000Z","Lampeter and Swansea","","","tw-1853735762","","0","","11","","","","","-1","ConfuciusTSD","","","true","","[http://pbs.twimg.com/media/Bs0Da5GIMAAiaXU.jpg]","2014-07-18T08:33:24.000Z","","",""
"en","289484","2191","","","","","","620136960","2012-06-27T14:45:38.000Z","Watch live: https://t.co/rtNij3XmD3 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.","","As the U.S. presidential election is approaching, local election officials across the country are busy with setting up polling sites, training staff, and testing their vote counting procedures. See how the city Denver manages to run the election correctly. https://t.co/eKZsYf6IQP https://t.co/2PbpQ40UQ8","","","","en","","","","","","false","7","","false","","","","false","","7932","true","","[video]","","","","tw","","","","","","true","","","false","","","","false","1315041965558427652","CGTN America","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","As the U.S. presidential election is approaching, local election officials across the country are busy with setting up polling sites, training staff, and testing their vote counting procedures. See how the city Denver manages to run the election correctly. https://t.co/eKZsYf6IQP https://t.co/2PbpQ40UQ8","","","","","","","","false","","","","","","","70924","https://t.co/aQGRpjLFu1","true","false","","false","","tw-cgtnamerica","","","1262","","","[https://bit.ly/3iQ3S33]","","2020-10-10T21:30:11.000Z","Washington, DC","","","tw-620136960","","14","","12","","","","","-1","cgtnamerica","","","true","","[http://pbs.twimg.com/media/Ej_kvgLXsAAAHj5.jpg]","2020-10-10T21:30:11.000Z","","",""
"en","13796658","69","","","","","","1115874631","2013-01-24T03:18:59.000Z","CGTN is an international media organization. It aims to provide global audiences with accurate and timely news coverage as well as rich audiovisual services.","","Twitter said the post violated its rules about spreading misleading and potentially harmful information related to COVID-19. https://t.co/lf4P6MxBy3","","","","en","","","","","","false","6","","true","","","","false","","148","true","1315384716867100674","","","","","tw","","","","","","true","","","false","","","","false","1315384753894416384","CGTN","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Twitter said the post violated its rules about spreading misleading and potentially harmful information related to COVID-19. https://t.co/lf4P6MxBy3","","","","","","","","false","","","","","","","142613","https://t.co/YSOcIymQSt","false","false","","false","","tw-CGTNOfficial","","","7989","","","[https://twitter.com/CGTNOfficial/status/1315384716867100674]","","2020-10-11T20:12:18.000Z","Beijing, China","","","tw-1115874631","","26","","13","","","","","-1","CGTNOfficial","","","true","","","2020-10-11T20:12:18.000Z","","",""
"en","259654","2242","","","","","","714684004495204352","2016-03-29T05:21:59.000Z","Bringing you the latest on business, finance, economy, IT and TMT in China, plus minute-by-minute stock market updates @chinastock. 中国最大财经媒体第一财经英文资讯服务的官方账号","","China succeeded in launching a new optical remote-sensing satellite, the Gaofen-13, from the southwest Xichang Satellite Launch Center on a Long March-3B carrier rocket at 12.57 a.m. It will mainly conduct land surveys, weather broadcasting and disaster prevention and mitigation. https://t.co/ulOv0Q3sTd","","","","en","","","","","","false","0","","false","","","","false","","856","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1315483703418777601","Yicai Global 第一财经","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","China succeeded in launching a new optical remote-sensing satellite, the Gaofen-13, from the southwest Xichang Satellite Launch Center on a Long March-3B carrier rocket at 12.57 a.m. It will mainly conduct land surveys, weather broadcasting and disaster prevention and mitigation. https://t.co/ulOv0Q3sTd","","","","","","","","false","","","","","","","64874","https://t.co/MZiBloucxH","true","false","","false","","tw-yicaichina","","","464","","","","","2020-10-12T02:45:30.000Z","Shanghai, China","","","tw-714684004495204352","","1","","14","","","","","-1","yicaichina","","","true","","[http://pbs.twimg.com/media/EkGJdQNXkAAsgJp.jpg]","2020-10-12T02:45:30.000Z","","",""
"en","6716","294","","","","","","2562545263","2014-06-12T02:46:43.000Z","The official twitter account of the Embassy of the People's Republic of China in Canada","","Ambassador Luo: Pleased to accompany Vice President of CPAPD Mr.Yu Hongjun to meet with @HonJohnBaird http://t.co/kh9qn7n7FV","","","","en","","","","","","false","2","","false","","","","false","","468","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","524646986738593792","ChineseEmbassyOttawa","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ambassador Luo: Pleased to accompany Vice President of CPAPD Mr.Yu Hongjun to meet with @HonJohnBaird http://t.co/kh9qn7n7FV","","","","","","","","false","","","","","","","3092","http://t.co/qjRBiLbhoV","true","false","","false","","tw-ChinaEmbOttawa","","","91","","","","","2014-10-21T19:42:43.000Z","515 St. Patrick Street, Ottawa","","","tw-2562545263","","0","","15","","","","","-1","ChinaEmbOttawa","","","true","","[http://pbs.twimg.com/media/B0frp1BCcAEHfx3.jpg]","2014-10-21T19:42:43.000Z","","",""
"en","4369942","538","","","","","","87775422","2009-11-05T20:30:10.000Z","Start a conversation as we share news and analysis from #China and beyond.","","Qingdao, Shandong province, has begun a program of free nucleic acid testing of all residents after new #COVID_19 cases were linked to a local pulmonary hospital. The city's health authority said the tests were expected to be completed in five days. https://t.co/tuIcGtb4Ap https://t.co/PAga3NQhHZ","","","","en","","","","","","false","3","","false","","","","false","","721","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1315551530137739264","China Daily","<a href=""https://www.socialrealnetwork.com/"" rel=""nofollow"">boardcast insight</a>","Qingdao, Shandong province, has begun a program of free nucleic acid testing of all residents after new #COVID_19 cases were linked to a local pulmonary hospital. The city's health authority said the tests were expected to be completed in five days. https://t.co/tuIcGtb4Ap https://t.co/PAga3NQhHZ","","","","","","","","false","","","","","","","135424","","false","false","","false","","tw-ChinaDaily","","","6591","","","[https://bit.ly/3lvmtDc]","","2020-10-12T07:15:01.000Z","Beijing, China","","","tw-87775422","","12","","16","","","","[COVID_19]","-1","ChinaDaily","","","true","","[http://pbs.twimg.com/media/EkHE3L7U0AAoRAj.jpg]","2020-10-12T07:15:01.000Z","","",""
"en","1121185","1878","","","","","","147491390","2010-05-24T08:11:05.000Z","China's national online news service","","China Broadcasting Network Co Ltd was established on Monday in Beijing, becoming the country's fourth telecom operator, with a registered capital of 101.2 billion yuan ($15.1 billion). https://t.co/sgJk4GMZ0n https://t.co/aN67nZXoai","","","","en","","","","","","true","1","","false","","","","false","","120","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1315854055575490560","China.org.cn","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","China Broadcasting Network Co Ltd was established on Monday in Beijing, becoming the country's fourth telecom operator, with a registered capital of 101.2 billion yuan ($15.1 billion). https://t.co/sgJk4GMZ0n https://t.co/aN67nZXoai","","","","","","","","false","","","","","","","50176","http://t.co/6CMaBlCOn6","true","false","","false","","tw-chinaorgcn","","","2114","","","[https://on.china.cn/33QfRt2]","","2020-10-13T03:17:08.000Z","Beijing, China","","","tw-147491390","","4","","17","","","","","-1","chinaorgcn","","","true","","[http://pbs.twimg.com/media/EkLaR2PVgAAl-1H.jpg]","2020-10-13T03:17:08.000Z","","",""
"en","289448","2191","","","","","","620136960","2012-06-27T14:45:38.000Z","Watch live: https://t.co/rtNij3XmD3 
Material is distributed by MediaLinks TV, LLC on behalf of CCTV. Info available at the Department of Justice in DC.","","The Chinese city of Qingdao will test the whole city for COVID-19 in 5 days, after 12 locally-transmitted coronavirus cases were reported. https://t.co/XaO9bfmYnd","","","","en","","","","","","false","4","","false","","","","false","","7938","true","","[video]","","","","tw","","","","","","true","","","false","","","","false","1315932788919603201","CGTN America","<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","The Chinese city of Qingdao will test the whole city for COVID-19 in 5 days, after 12 locally-transmitted coronavirus cases were reported. https://t.co/XaO9bfmYnd","","","","","","","","false","","","","","","","71048","https://t.co/aQGRpjLFu1","true","false","","false","","tw-cgtnamerica","","","1265","","","","","2020-10-13T08:30:00.000Z","Washington, DC","","","tw-620136960","","6","","18","","","","","-1","cgtnamerica","","","true","","[http://pbs.twimg.com/media/EkKh8s0XsAAc9eo.jpg]","2020-10-13T08:30:00.000Z","","",""
"en","4369257","538","","","","","","87775422","2009-11-05T20:30:10.000Z","Start a conversation as we share news and analysis from #China and beyond.","","Audi and FAW are to establish a new joint venture in China to produce electric vehicles, according to a memorandum the two signed Tuesday during the Germany-China Automobile Conference held in Changchun, Jilin province. https://t.co/WVSwlWWg1C https://t.co/UL2c3EkClb","","","","en","","","","","","false","9","","false","","","","false","","722","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1316025927181033480","China Daily","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Audi and FAW are to establish a new joint venture in China to produce electric vehicles, according to a memorandum the two signed Tuesday during the Germany-China Automobile Conference held in Changchun, Jilin province. https://t.co/WVSwlWWg1C https://t.co/UL2c3EkClb","","","","","","","","false","","","","","","","135592","","false","false","","false","","tw-ChinaDaily","","","6594","","","[http://ow.ly/ofie50BR8U6]","","2020-10-13T14:40:06.000Z","Beijing, China","","","tw-87775422","","37","","19","","","","","-1","ChinaDaily","","","true","","[http://pbs.twimg.com/media/EkN2myRVkAgvo_M.jpg]","2020-10-13T14:40:06.000Z","","",""
"en","12614668","64","","","","","","487118986","2012-02-09T01:10:18.000Z","We are public media for the public good. We don't pursue corporate interests, nor will we yield to the pressure of ideological stigmatization and political bias","","Xi: Shenzhen has made 5 historic leaps forward since the establishment of the special economic zone 40 years ago https://t.co/N0uznlhUmM https://t.co/MIk3txRlk8","","","","en","","","","","","false","5","","false","","","","false","","0","true","","[photo]","","","","tw","","","","","","true","","","false","","","","false","1316224578947964928","China Xinhua News","<a href=""http://static.cms.xinhua-news.cn/sm/twitterxinhuanewsagency/"" rel=""nofollow"">China Xinhua News</a>","Xi: Shenzhen has made 5 historic leaps forward since the establishment of the special economic zone 40 years ago https://t.co/N0uznlhUmM https://t.co/MIk3txRlk8","","","","","","","","false","","","","","","","182605","","true","false","","false","","tw-XHNews","","","13704","","","[http://xhne.ws/094GT]","","2020-10-14T03:49:28.000Z","Headquartered in Beijing, PRC","","","tw-487118986","","23","","20","","","","","-1","XHNews","","","true","","[http://pbs.twimg.com/media/EkQrRv_UYAEVHfz.jpg]","2020-10-14T03:49:28.000Z","","",""
