"twitter.user/id","twitter.user/screenName"
"1160779539892408321","thepapercn"
"1265886690205249536","QiushiJournal"
"814819352662790145","CGTNEurope"
"1206584459014918145","AmbChineCmr"
"2562545263","ChinaEmbOttawa"
"535637554","RitaBai"
"829353238046588929","confuciusedgehi"
"940862098216751105","ChinaEmSlovenia"
"3508175477","chinascio"
"1173601346592919553","ChinaEmbinMR"
"1167303027503403008","ZhaLiyou"
"960129987998244865","PeoplesDailyapp"
"141627220","zlj517"
"713808776","cctvarabic"
"599026769","Guangming_Daily"
"960625528939020288","Confuciusinsti"
"1717147890","Lancaster_CI"
"793107778701254656","Confucius_HWU"
"873175588919554049","wmconfucius"
"2166586458","LeedsConfucius"
"966127023318999041","uofuci"
"1260483335635247112","XinhuaUrdu"
"1226820755721248769","ChinaEmbSVK"
"2207458117","TSUCI_"
"992063308139319296","EmbaixadaChina"
"1235580233669099522","China_Lyon"
"956892490510020608","ChineseEmb_Uga"
"1201828638171303936","ChineseLiberia"
"1216330086028316672","ChinaIraq"
"1230410541547560960","consulat_de"
"1168979212574892034","AmbLiuQuan"
"3033801332","XHMyanmar"
"1204496933886320641","ChinaEmbajada"
"1219744155024445442","ConsuladoCHNSC"
"487118986","XHNews"
"1161600064214753280","AmbassadeChine"
"3612384374","CathayPak"
"2805551354","CI_MiamiUniv"
"1240199777951735808","SuYuting8"
"1186556215767252992","Ambassador_Liu"
"1213347544329097216","wulei2020"
"338736117","Echinanews"
"141753035","chenhuixin"
"2985114866","CCTV_Plus"
"1169590123404693508","CHNEmbSuriname"
"917440252284940289","juliojiangwei"
"1227394803911938048","ChineseEmb_PNG"
"1111926997813325824","FlyOverChina"
"925561028469035008","weiasecas"
"34959268","CI4Scotland"
"304314830","UCL_IOE_CI"
"104146203","caixin"
"1108007465826897921","ConfuciusCovuni"
"1201049689019310080","AmbLiaoLiqiang"
"769011542033633280","Li_Baorong"
"714684004495204352","yicaichina"
"3742816096","zhaobaogang2011"
"1077689818165972992","EmbZhangRun"
"1183694592433983489","MFA_China"
"1233016806698373122","DrZhaoYanbo"
"1229881161171775488","ChinaEmbPeru"
"16482491","WuGang_CX"
"1271159227164364807","CGChinaSP"
"1203232832518144000","peijin_zhang"
"1222924488783945730","chinaembaustria"
"994453158301786113","AmbCina"
"2816520537","ConfuciusIdaho"
"3319804777","XinhuaChinese"
"1204200194390183936","ChinaCGCalgary"
"3910925474","ShanghaiEye"
"1235154463901585413","ChinaEmbinGH"
"1273416484094525440","FuCong17"
"1247973383347802112","ChinaEmbAntigua"
"3114541140","Yunfei_Zh"
"1239943788166070277","ChinaEmbArg"
"4830646103","ConfuciusNJCU"
"332826856","tianwei"
"19140447","shanghaidaily"
"1215218674459525120","Amb_ZhuJing"
"1097900802067304448","EmbajadaChinaSV"
"975206996608798720","liuboleo2"
"1253534354032087041","ChinaConSydney"
"737921406042791936","HullConfucius"
"1226975305367261190","ZhongBai2020"
"1240198718143504385","AmbLiuGuangYuan"
"1121466332669775878","ChinaEmbajadaRD"
"1250704920153554944","ChineAmbDjibout"
"3254484081","ChinaMissionGva"
"1153956415138095104","ChinaEmbKSA"
"882534687599624192","OBUConfucius"
"1225742020301467649","ChinainLebanon"
"4236451217","yiwen_zh"
"1207558778842947584","ChinaEmbAddis"
"1152213233605992453","DrZhaoyongchen"
"1239955274124767232","WDonghua"
"1239950242113413121","ConsulateSan"
"2904895324","CISSStrathclyde"
"736101479715614720","XHSports"
"1184004521262870528","WANGXUinToKyo"
"1171793872592224258","AmbCHENXiaodong"
"1164940374374330368","ChinaScience"
"761469053181370369","cgtnenespanol"
"619855057","cgtnafrica"
"1225471435856019456","GuWenliang"
"1098870327017271296","XinhuaTravel"
"1257647650591170560","AmbSomQinJian"
"1226082749683032064","ChineseEmbinRus"
"1222830618247147520","WangJialei4"
"1175409838337093632","ChinaYouthOL"
"1365119815","shou30jin"
"1250143467726086144","chinaembcongobz"
"1204493953694863369","ConsulChinaRJ"
"556215059","ChinaInstitute_"
"1225319823707602947","AmbZhouJian"
"3576724694","XHportugues"
"1899984391","ChinaEUMission"
"1201536069403058176","EmbajadaChinaEc"
"3089531347","XHJapanese"
"1122771205545709569","ChinaembassyT"
"1222262311265673221","RibiaoChen"
"1228297106571644928","ConsulChinaBcn"
"1258552456570642435","CHN_UN_NY"
"1253685358476345345","chinadailyrus"
"558186622","bycongwang"
"1235798694747877378","chinese_tjk"
"1181917144331587584","China24Official"
"1273550520570073088","China_OPCW"
"1014383832374497281","AnnaGE_"
"785000165350346753","cgtnrussian"
"1257984753342373888","ChinadailyJP"
"1245664329912942592","ChinaEmbKuwait"
"4518741314","GuanXinCGTN"
"1241323262291791873","michellecgtn"
"1257998445589041153","CDHKedition"
"1223984685883297796","Dr_ZhaoQinghua"
"768718077189947392","CDAfricaNews"
"1242011069431889923","China_Ukraine_"
"763302623264976896","AlexYsalex17"
"799076342054588416","UNDPChina"
"2775998016","HuXijin_GT"
"1209162583346962435","ChinaEmbFinland"
"700971797374640128","GlobalTimesBiz"
"1347629522334720000","YDunhai"
"1203299705620271104","CGPRCinDubai"
"1274614148320690178","CHN_EGY"
"199667836","kooricuc"
"1262720390977269761","ChinaAlgeria"
"352561706","Jingjing_Li"
"970247500140462081","HuXijin_huanqiu"
"35175126","LiuXininBeijing"
"1329729346861404161","ChineseEmbinMNE"
"995265275481284608","CaoYi_MFA"
"1282941024852213761","Chinaemb_Hellas"
"1222894323152195586","CGMeifangZhang"
"1275420074233548806","ChinaEmbNL"
"1194184670553882624","CGTNStories"
"1095060684725993472","ChinaDaily_EU"
"1245613547519787009","ChinaEmbMalta"
"1241445014749798408","ErwenXu"
"464487525","HuangYong_HY"
"88702710","chenweihua"
"1226785522661699585","chinaconsulist"
"1187372311604858882","MahuiChina"
"1273354077494284288","Amb_LiSong"
"1257852688223465472","CdOpinion"
"1268099120964788224","ChinaEmbAlgeria"
"1871632136","LiuXin_Emily"
"1192148826771120128","HanPeng15040090"
"303862998","PDChina"
"39045394","Dongning"
"4445417361","closertochina"
"850386476705632256","lingzhi_van"
"1234796463026298882","CCGBelfast"
"1265628788555210753","AmbDongXiaojun"
"717307308452093952","GlobalTimesLife"
"1234024891705417728","ChinaEmbOman"
"1223268777242120192","ChnMission"
"807848665259745281","MengQingsheng"
"1339157077281939458","ChinaAmbNL"
"975915650559496193","YaoFei9"
"900834755356360705","MingjieReporter"
