Suggested Theme,Count
Economy,5
Chinese culture and people,4
Politics,3
COVID-19,3
Anti-US,2
health,2
Development,2
Tourism,2
Technology,1
Space,1
China's political system,1
China's relations with the UN,1
Health,1
chinese festivals,1
politics,1
sustainable development,1
China relations and the world,1
China and the world,1
Environmental protection,1
poverty alleviation,1
China relations with Africa,1
Transport,1
Xinjiang,1
